soc_id	var_id	code	title	category	pref_name_for_society	Lat	Long	region
SCCS1	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Nama	-27.5	17.0	Africa
SCCS1	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Nama	-27.5	17.0	Africa
SCCS1	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Nama	-27.5	17.0	Africa
SCCS1	SCCS69	3.0	Marital Residence	Settlement, Community	Nama	-27.5	17.0	Africa
SCCS1	SCCS826	26.0	Average Female Contribution to Subsistence	Gender, Data Quality	Nama	-27.5	17.0	Africa
SCCS10	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Luguru	-6.83	37.67	Africa
SCCS10	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Luguru	-6.83	37.67	Africa
SCCS10	SCCS64	7.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Luguru	-6.83	37.67	Africa
SCCS10	SCCS69	1.0	Marital Residence	Settlement, Community	Luguru	-6.83	37.67	Africa
SCCS10	SCCS826	40.0	Average Female Contribution to Subsistence	Gender, Data Quality	Luguru	-6.83	37.67	Africa
SCCS100	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Tikopia	-12.29	168.83	Insular Pacific
SCCS100	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Tikopia	-12.29	168.83	Insular Pacific
SCCS100	SCCS64	6.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Tikopia	-12.29	168.83	Insular Pacific
SCCS100	SCCS69	3.0	Marital Residence	Settlement, Community	Tikopia	-12.29	168.83	Insular Pacific
SCCS100	SCCS826	30.0	Average Female Contribution to Subsistence	Gender, Data Quality	Tikopia	-12.29	168.83	Insular Pacific
SCCS101	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Bunlap	-15.95	168.22	Insular Pacific
SCCS101	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Bunlap	-15.95	168.22	Insular Pacific
SCCS101	SCCS64	4.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Bunlap	-15.95	168.22	Insular Pacific
SCCS101	SCCS69	3.0	Marital Residence	Settlement, Community	Bunlap	-15.95	168.22	Insular Pacific
SCCS101	SCCS826		Average Female Contribution to Subsistence	Gender, Data Quality	Bunlap	-15.95	168.22	Insular Pacific
SCCS102	SCCS3	4.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Mbau Fijians	-18.0	178.58	Insular Pacific
SCCS102	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Mbau Fijians	-18.0	178.58	Insular Pacific
SCCS102	SCCS64	7.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Mbau Fijians	-18.0	178.58	Insular Pacific
SCCS102	SCCS69	3.0	Marital Residence	Settlement, Community	Mbau Fijians	-18.0	178.58	Insular Pacific
SCCS102	SCCS826	28.0	Average Female Contribution to Subsistence	Gender, Data Quality	Mbau Fijians	-18.0	178.58	Insular Pacific
SCCS103	SCCS3	5.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Ajie	-21.33	165.67	Insular Pacific
SCCS103	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Ajie	-21.33	165.67	Insular Pacific
SCCS103	SCCS64	3.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Ajie	-21.33	165.67	Insular Pacific
SCCS103	SCCS69	3.0	Marital Residence	Settlement, Community	Ajie	-21.33	165.67	Insular Pacific
SCCS103	SCCS826	47.0	Average Female Contribution to Subsistence	Gender, Data Quality	Ajie	-21.33	165.67	Insular Pacific
SCCS104	SCCS3	5.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Māori	-35.33	174.17	Insular Pacific
SCCS104	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Māori	-35.33	174.17	Insular Pacific
SCCS104	SCCS64	2.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Māori	-35.33	174.17	Insular Pacific
SCCS104	SCCS69	3.0	Marital Residence	Settlement, Community	Māori	-35.33	174.17	Insular Pacific
SCCS104	SCCS826	31.0	Average Female Contribution to Subsistence	Gender, Data Quality	Māori	-35.33	174.17	Insular Pacific
SCCS105	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Marquesans	-8.92	-140.17	Insular Pacific
SCCS105	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Marquesans	-8.92	-140.17	Insular Pacific
SCCS105	SCCS64	5.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Marquesans	-8.92	-140.17	Insular Pacific
SCCS105	SCCS69	5.0	Marital Residence	Settlement, Community	Marquesans	-8.92	-140.17	Insular Pacific
SCCS105	SCCS826	18.0	Average Female Contribution to Subsistence	Gender, Data Quality	Marquesans	-8.92	-140.17	Insular Pacific
SCCS106	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Upolu Samoans	-13.94	-171.77	Insular Pacific
SCCS106	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Upolu Samoans	-13.94	-171.77	Insular Pacific
SCCS106	SCCS64	6.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Upolu Samoans	-13.94	-171.77	Insular Pacific
SCCS106	SCCS69	3.0	Marital Residence	Settlement, Community	Upolu Samoans	-13.94	-171.77	Insular Pacific
SCCS106	SCCS826	33.0	Average Female Contribution to Subsistence	Gender, Data Quality	Upolu Samoans	-13.94	-171.77	Insular Pacific
SCCS107	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Makin	3.38	172.99	Insular Pacific
