soc_id	pref_name_for_society	Lat	Long	region	Agriculture - Contribution to Local Food Supply	Average Female Contribution to Subsistence	Community-wide Exclusively Female Work Groups	Marital Residence	Population Density (from Murdock and Wilson Data)
SCCS1	Nama	-27.5	17.0	Africa	1.0	26.0		3.0	1.0
SCCS10	Luguru	-6.83	37.67	Africa	6.0	40.0		1.0	7.0
SCCS100	Tikopia	-12.29	168.83	Insular Pacific	6.0	30.0		3.0	6.0
SCCS101	Bunlap	-15.95	168.22	Insular Pacific	6.0		1.0	3.0	4.0
SCCS102	Mbau Fijians	-18.0	178.58	Insular Pacific	4.0	28.0		3.0	7.0
SCCS103	Ajie	-21.33	165.67	Insular Pacific	5.0	47.0		3.0	3.0
SCCS104	Māori	-35.33	174.17	Insular Pacific	5.0	31.0		3.0	2.0
SCCS105	Marquesans	-8.92	-140.17	Insular Pacific	6.0	18.0	1.0	5.0	5.0
SCCS106	Upolu Samoans	-13.94	-171.77	Insular Pacific	6.0	33.0		3.0	6.0
SCCS107	Makin	3.38	172.99	Insular Pacific	6.0	41.0		3.0	6.0
SCCS108	Marshallese - Jaluit Atoll	6.28	169.49	Insular Pacific	4.0	26.0		1.0	6.0
SCCS109	Trukese	7.34	151.6	Insular Pacific	5.0	31.0		1.0	7.0
SCCS11	Kikuyu	-0.67	37.17	Africa	6.0	47.0	2.0	3.0	6.0
SCCS110	Yapese	9.52	138.16	Insular Pacific	6.0	41.0		3.0	5.0
SCCS111	Palauans	7.5	134.5	Insular Pacific	6.0	49.0	2.0	2.0	5.0
SCCS112	Ifugao	16.83	121.17	Insular Pacific	6.0	61.0		4.0	6.0
SCCS113	Atayal	24.33	120.75	Insular Pacific	6.0	44.0	1.0	3.0	4.0
SCCS114	Chekiang	31.0	120.08	East Eurasia	6.0	7.0		3.0	7.0
SCCS115	Manchu	50.0	125.5	East Eurasia	6.0	34.0	1.0	3.0	6.0
SCCS116	Koreans	37.6	126.42	East Eurasia	6.0	32.0		3.0	7.0
SCCS117	Japanese	34.67	133.67	East Eurasia	6.0	38.0	1.0	3.0	7.0
SCCS118	Ainu	42.83	143.0	East Eurasia	3.0	38.0		3.0	2.0
SCCS119	Nivkh	53.0	142.0	East Eurasia	1.0	27.0	1.0	3.0	1.0
SCCS12	Ganda	0.33	32.5	Africa	6.0	56.0		5.0	6.0
SCCS120	Yukaghir	64.75	153.5	East Eurasia	1.0	0.0		4.0	1.0
SCCS121	Chukchi	66.5	179.6	East Eurasia	1.0	23.0	1.0	3.0	1.0
SCCS122	Deg Xit'an	62.5	-159.5	North America	1.0	26.0		1.0	1.0
SCCS123	Aleut	55.0	-162.85	North America	1.0	35.0		3.0	4.0
SCCS124	Copper Inuit	68.72	-112.53	North America	1.0	16.0		5.0	1.0
SCCS125	Montagnais	50.0	-74.0	North America	1.0	32.0	1.0	3.0	1.0
SCCS126	Mi'kmaq	46.99	-65.0	North America	1.0	8.0		5.0	1.0
